pid,product_name,product_category_tree,details
26821,Smart Saw 2085,Tools>>Accessories>>Professional,Description for Smart Saw 2085
64503,Flex Paint 652,Electrical>>Power>>Professional,Description for Flex Paint 652
27471,Ultra Pump 1986,Gardening>>Fixtures>>Basic,Description for Ultra Pump 1986
87877,Ultra Drill 7153,Plumbing>>Accessories>>Industrial,Description for Ultra Drill 7153
18130,Smart Glue 4842,Plumbing>>Safety>>Basic,Description for Smart Glue 4842
74500,Pro Ladder 5197,Plumbing>>Manual>>Advanced,Description for Pro Ladder 5197
2210,Super Pump 8954,Gardening>>Accessories>>Advanced,Description for Super Pump 8954
32652,Flex Pump 6926,Tools>>Power>>Professional,Description for Flex Pump 6926
73611,Super Ladder 8244,Plumbing>>Safety>>Basic,Description for Super Ladder 8244
63358,Smart Pump 1774,Gardening>>Fixtures>>Basic,Description for Smart Pump 1774
